公告,#genre#
天津卫视,http://112.66.141.124:8888/rtp/239.253.64.198:5140
贵州卫视,http://112.66.141.124:8888/rtp/239.253.64.197:5140
四川卫视SD,http://112.66.141.124:8888/rtp/239.253.64.36:5140
云南卫视SD,http://112.66.141.124:8888/rtp/239.253.64.147:5140
广西卫视SD,http://112.66.141.124:8888/rtp/239.253.64.45:5140
黑龙江卫视,http://112.66.141.124:8888/rtp/239.253.64.205:5140
安徽卫视,http://112.66.141.124:8888/rtp/239.253.64.129:5140
山西卫视SD,http://112.66.141.124:8888/rtp/239.253.64.31:5140
江西卫视,http://112.66.141.124:8888/rtp/239.253.64.56:5140
湖北卫视,http://112.66.141.124:8888/rtp/239.253.64.207:5140
海南卫视,http://112.66.141.124:8888/rtp/239.253.64.253:5140
陕西卫视SD,http://112.66.141.124:8888/rtp/239.253.64.37:5140
东南卫视,http://112.66.141.124:8888/rtp/239.253.64.66:5140
厦门卫视SD,http://112.66.141.124:8888/rtp/239.253.64.179:5140
吉林卫视,http://112.66.141.124:8888/rtp/239.253.64.57:5140
辽宁卫视,http://112.66.141.124:8888/rtp/239.253.64.150:5140
内蒙古卫视SD,http://112.66.141.124:8888/rtp/239.253.64.144:5140
湖南卫视,http://112.66.141.124:8888/rtp/239.253.64.114:5140
广东卫视,http://112.66.141.124:8888/rtp/239.253.64.200:5140
河南卫视,http://112.66.141.124:8888/rtp/239.253.64.157:5140
河北卫视,http://112.66.141.124:8888/rtp/239.253.64.210:5140
宁夏卫视,http://112.66.141.124:8888/rtp/239.253.64.88:5140
甘肃卫视,http://112.66.141.124:8888/rtp/239.253.64.156:5140
青海卫视SD,http://112.66.141.124:8888/rtp/239.253.64.46:5140
新疆卫视,http://112.66.141.124:8888/rtp/239.253.64.85:5140
西藏卫视,http://112.66.141.124:8888/rtp/239.253.64.84:5140
兵团卫视,http://112.66.141.124:8888/rtp/239.253.64.86:5140
三沙卫视,http://112.66.141.124:8888/rtp/239.253.64.112:5140
